id,by,about,karma,title,score
14257744,jimarcey,My name is Jim,319,Prepack helps make JavaScript code more efficient,392
14256300,s_dev,"software dev in dublin, ireland.<p>cs grad, likes: rugby, chilli, mario kart, tiny undersized milk cartons with handles and the blankets of fog you get in rural ireland.<p>loylap.com<p>&#x2F;r&#x2F;develeire",1169,Root – Programmable bank account for software developers,497
14259456,chollida1,"Currently using Complex Event Processing, numpy, sci-kit and pandas<p>I&#x27;m fairly competent in Haskell and OCaml, especially their FFI&#x27;s, as you can&#x27;t really do anything without dropping to C:)<p>If you&#x27;ve made it this far and feel like you&#x27;d like to chat, please don&#x27;t be shy at all and reach out to me.  I&#x27;d love to chat.<p>Contact me: chris@chollida.com",12320,Puerto Rico files for biggest ever U.S. local government bankruptcy,191
14259358,jaffee,[ my public key: https:&#x2F;&#x2F;keybase.io&#x2F;jaffee; my proof: https:&#x2F;&#x2F;keybase.io&#x2F;jaffee&#x2F;sigs&#x2F;m6DntPZSNkB2cmrKeaITaqkrHBbXJpgYP3QX_fQWS6I ],33,"Pilosa: open source, distributed bitmap index in Go",62
14259463,MetalMatze,,75,Sourcegraph now running on an in-browser VS Code,50
14257847,greenburger,,871,Ted Seides Concedes Bet with Warren Buffett,70
14254165,anc84,,2717,MapSCII – Braille and ASCII map renderer for the console,281
14254475,tosh,"Founder &amp; CEO of Blossom,
project tracking for distributed companies<p>https:&#x2F;&#x2F;www.blossom.co
https:&#x2F;&#x2F;twitter.com&#x2F;__tosh
https:&#x2F;&#x2…&#x2F;&#x2F;github.com&#x2F;tosh
https:&#x2F;&#x2F;dribbble.com&#x2F;tosh<p>UX, Service Design, Typography, Game Design, Dart, Growth Engineering, Tea, Minimalism, Dao, …<p>[ my public key: https:&#x2F;&#x2F;keybase.io&#x2F;tosh; my proof: https:&#x2F;&#x2F;keybase.io&#x2F;tosh&#x2F;sigs&#x2F;gBG56O339IbBPh1iaudGL3dgJuX2yONIATYv62xHXdg ]",10709,Uncomplicate: Number crunching in Clojure,30
14258918,eof,geoffgolderatgmail<p>gd0t.com<p>geoffgolder.com,3039,Ask HN: Google Doc email virus?,247
14254969,balajmarius,,8,SVG2JSX – Convert SVG to Valid React SVG,19
14260284,open-source-ux,,1161,"To Understand 'Brexit,' Look to Britain’s Tabloids",7
14258383,golfer,,537,Google accuses Uber of creating a fake company in order to steal its tech,181
14253187,tjalfi,"I work in the IT department of a law firm.<p>Topics of Interest:
Compilers
Programming Languages
Functional Programming",629,Miranda: A non-strict functional language with polymorphic types (1985) [pdf],45
14254357,_kush,,531,"Show HN: My first native iOS app – Cone, a real time color picker",348
14252903,kawera,,8881,Ten Year Futures,31
